Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2013;p31p100;43121.4254164;58196.2413758;3.8956451416;4.08544158936;14244.7861328;0.9523078803;0.9511419058;11069.1357422
;BR;2013;p32p100;43591.289862;58840.8059177;3.86692786217;4.06188583374;14486.0800781;0.9487325732;0.9477391351;11272.8476562
;BR;2013;p33p100;44072.1615516;59501.0854395;3.84231066704;4.04361486435;14714.8242188;0.9450925354;0.9442804107;11470.2236328
;BR;2013;p34p100;44564.7782031;60178.0826226;3.82743549347;4.03369569778;14918.8457031;0.9413927816;0.9407702408;11643.5087891
;BR;2013;p35p100;45070.1506712;60873.009736;3.82563662529;4.03365278244;15091.2871094;0.9376430644;0.9372154102;11781.0849609
;BR;2013;p36p100;45589.4769318;61587.2122142;3.83782815933;4.04330778122;15231.8886719;0.933855675;0.9336235739;11878.9785156
;BR;2013;p37p100;46124.0218142;62322.062924;3.86212825775;4.06046867371;15348.4902344;0.9300427193;0.9300015217;11942.6435547
;BR;2013;p38p100;46674.9539028;63078.8198201;3.89312911034;4.08044624329;15458.8046875;0.9262127737;0.9263530547;11989.0585938
;BR;2013;p39p100;47243.1289552;63858.4379707;3.92084932327;4.09545516968;15592.5136719;0.922366811;0.9226764061;12049.2080078
;BR;2013;p40p100;47828.8066514;64661.3248436;3.92973065376;4.09411287308;15793.7324219;0.9184932617;0.9189611218;12171.0136719
;BR;2013;p41p100;48431.3680622;65487.100092;3.90485405922;4.06598567963;16106.0830078;0.9145636321;0.9151853516;12402.8623047
;BR;2013;p42p100;49049.8482672;66335.0882364;3.85333991051;4.01663827896;16515.0761719;0.9105437984;0.9113235514;12729.1777344
;BR;2013;p43p100;49683.7128559;67205.0265775;3.78751778603;3.95537042618;16990.8300781;0.9064087259;0.90735639;13117.75
;BR;2013;p44p100;50332.946002;68097.1554678;3.71773552895;3.89017224312;17504.9199219;0.9021433591;0.9032714578;13538.6035156
;BR;2013;p45p100;50998.0469763;69012.2293363;3.65181016922;3.82735443115;18031.3144531;0.8977417301;0.8990628146;13965.1416016
;BR;2013;p46p100;51680.0024954;69951.5097304;3.59498763084;3.77147364616;18547.5273438;0.8932056566;0.8947302921;14375.5712891
;BR;2013;p47p100;52380.2262557;70916.7334272;3.550085783;3.72539639473;19036.0234375;0.8885429361;0.8902784924;14754.6367188
;BR;2013;p48p100;53100.4546939;71910.0467529;3.51758241653;3.69035315514;19485.953125;0.8837649277;0.8857154165;15095.7246094
;BR;2013;p49p100;53842.5849533;72933.8947343;3.49549627304;3.66589331627;19895.2578125;0.8788833904;0.8810506404;15403.4160156
;BR;2013;p50p100;54608.4369885;73990.8503904;3.47899866104;3.64968276024;20273.2285156;0.8739064195;0.8762929391;15696.5957031
;BR;2013;p51p100;55399.4649325;75083.3888343;3.46191835403;3.63796448708;20638.8457031;0.8688340428;0.8714475137;16002.5341797
;BR;2013;p52p100;56216.9087037;76213.8587463;3.44382286072;3.62866163254;21003.296875;0.8636611356;0.8665157826;16323.984375
;BR;2013;p53p100;57062.1730381;77384.6202498;3.4258184433;3.62038803101;21374.6757812;0.8583834652;0.8614970663;16656.5078125
;BR;2013;p54p100;57936.871157;78598.0614625;3.40872049332;3.61184883118;21761.171875;0.8529980697;0.8563887542;16996.6621094
;BR;2013;p55p100;58842.8215297;79856.6014168;3.39300322533;3.60186767578;22170.8867188;0.8475028783;0.8511863026;17342.4003906
;BR;2013;p56p100;59782.0336602;81162.6979891;3.37873768806;3.58942651749;22611.6054688;0.8418961824;0.8458832807;17693.5996094
;BR;2013;p57p100;60756.6782886;82518.8632145;3.36551403999;3.57371640205;23090.4902344;0.8361759196;0.8404714805;18052.71875
;BR;2013;p58p100;61769.0357979;83927.6892689;3.35234737396;3.55419993401;23613.6660156;0.8303387225;0.8349411115;18425.6074219
;BR;2013;p59p100;62821.4144542;85391.8896199;3.33755874634;3.53067684174;24185.6992188;0.8243786698;0.8292811046;18822.5644531
;BR;2013;p60p100;63916.027218;86914.3614984;3.31865334511;3.50335407257;24808.9003906;0.8182856654;0.8234795615;19259.6269531
;BR;2013;p61p100;65054.8688188;88498.2976789;3.29370594025;3.47332382202;25479.4257812;0.8120440555;0.8175245685;19751.2675781
;BR;2013;p62p100;66240.145219;90147.5258607;3.26595282555;3.44352579117;26178.84375;0.8056382019;0.8114069021;20282.0273438
;BR;2013;p63p100;67474.8784852;91866.8478272;3.2394964695;3.41690635681;26885.9726562;0.7990593067;0.8051222489;20828.8164062
;BR;2013;p64p100;68763.0475782;93662.1662327;3.21770262718;3.39584946632;27581.3652344;0.7923057288;0.7986711335;21370.2304688
;BR;2013;p65p100;70109.6553534;95540.571474;3.20308804512;3.38210511208;28248.8476562;0.7853822025;0.7920583345;21888.1445312
;BR;2013;p66p100;71520.7519126;97510.3903671;3.19718456268;3.37667322159;28877.6503906;0.7782984538;0.78529187;22369.9160156
;BR;2013;p67p100;73003.3843633;99581.1685537;3.20030784607;3.37961149216;29465.2714844;0.7710669933;0.778381396;22811.3632812
;BR;2013;p68p100;74565.4281776;101763.544362;3.21114635468;3.38970017433;30021.4003906;0.7636997938;0.7713358063;23220.8125
;BR;2013;p69p100;76215.2331586;104068.950681;3.22609710693;3.40392518044;30573.21875;0.7562034517;0.7641597499;23624.59375
;BR;2013;p70p100;77960.9839607;106509.049845;3.23831748962;3.41674804688;31172.6386719;0.7485722878;0.7568486739;24074.5332031
;BR;2013;p71p100;79809.8246746;109094.950329;3.23974394798;3.42166829109;31883.5546875;0.7407804863;0.7493831712;24634.609375
;BR;2013;p72p100;81768.7127788;111838.095077;3.23149991035;3.41933345795;32707.5722656;0.7327914127;0.7417355283;25303.640625
;BR;2013;p73p100;83846.2534476;114752.111064;3.21755576134;3.41262245178;33625.7851562;0.724573764;0.7338811574;26058.9902344
;BR;2013;p74p100;86053.2796677;117853.48133;3.20181083679;3.40442705154;34617.7148438;0.7161037596;0.725800149;26876.4414062
;BR;2013;p75p100;88403.3384681;121162.161204;3.18783783913;3.39748549461;35662.3046875;0.7073654663;0.717477538;27731.4414062
;BR;2013;p76p100;90913.2298456;124702.293145;3.178647995;3.39421653748;36739.640625;0.6983505954;0.7089032554;28601.2265625
;BR;2013;p77p100;93603.5662173;128503.009501;3.17641377449;3.39650917053;37833.8476562;0.6890574146;0.7000715423;29468.3164062
;BR;2013;p78p100;96499.2818591;132599.285378;3.18205523491;3.40541648865;38937.7578125;0.6794882344;0.6909794851;30326.0859375
;BR;2013;p79p100;99629.9510373;137032.751311;3.19453978539;3.42065739632;40060.3554688;0.6696446301;0.6816241379;31187.5761719
;BR;2013;p80p100;103029.643833;141852.27563;3.20970845222;3.43979024887;41238.640625;0.6595190935;0.671997399;32099.3769531
;BR;2013;p81p100;106736.124291;147114.172032;3.22087240219;3.45841860771;42537.9882812;0.6490829614;0.6620783734;33138.8867188
;BR;2013;p82p100;110792.354246;152884.276816;3.2266497612;3.47502326965;43995.1796875;0.6382891689;0.6518334114;34336.6523438
;BR;2013;p83p100;115250.310434;159242.143537;3.22758984566;3.48909115791;45640.0078125;0.6270846993;0.6412217212;35707.8554688
;BR;2013;p84p100;120173.928795;166285.137934;3.22436118126;3.50004577637;47509.4179688;0.615411236;0.6301946427;37270.6171875
;BR;2013;p85p100;125642.850558;174133.832299;3.21769618988;3.50725626945;49649.5898438;0.6032040087;0.6186937178;39047.4570312
;BR;2013;p86p100;131757.635955;182939.539063;3.20829534531;3.51005363464;52118.7304688;0.5903900215;0.6066481889;41067.8007812
;BR;2013;p87p100;138647.121632;192895.072304;3.19665908813;3.50776910782;54990.8125;0.5768851892;0.5939717293;43372.5078125
;BR;2013;p88p100;146478.939606;204250.527642;3.18279004097;3.49980306625;58360.578125;0.5625894871;0.5805581449;46022.1796875
;BR;2013;p89p100;155474.718262;217337.140904;3.16565847397;3.4857468605;62350.234375;0.5473783834;0.5662756978;49112.9140625
;BR;2013;p91p100;178257.692404;250682.698763;3.10745096207;3.4399561882;72873.8046875;0.5134828802;0.534402105;57364.6054688
;BR;2013;p92p100;193025.891621;272483.74919;3.05993270874;3.40935444832;79922.390625;0.4942432345;0.5163353775;63081.7460938
;BR;2013;p93p100;211090.973823;299388.633539;3.00005841255;3.37468504906;88716.0234375;0.4729365538;0.4964032741;70362.2890625
;BR;2013;p94p100;233793.607604;333604.729006;2.92911624908;3.33763313293;99952.484375;0.448971798;0.4741161378;79817.1171875
;BR;2013;p95p100;263391.923669;378925.567355;2.84985899925;3.30132079124;114779.992188;0.4215097623;0.4487714324;92422.7890625
;BR;2013;p96p100;304079.860316;442550.717863;2.76774072647;3.27163529396;135268.96875;0.389298587;0.4192994861;109865.734375
;BR;2013;p97p100;364854.306686;540277.120136;2.69403672218;3.26015067101;165721.515625;0.3503288558;0.3839185708;135430.34375
;BR;2013;p98p100;470129.9056;715936.442678;2.65479040146;3.28930473328;217655.859375;0.3009421732;0.3391608807;177087.390625
;BR;2013;p0p90;16278.5044624;21064.0363972;;;0.0;0.4689129117;0.4490403784;0.0
;BR;2013;p0p99;24231.4912335;30900.0678443;;;0.0;0.7678042567;0.7245959741;0.0
;BR;2013;p99.1p100;775291.229357;1251863.64157;2.70894932747;3.34499526024;374249.75;0.2233276826;0.266870657;286196.28125
;BR;2013;p99.1p99.2;296550.681487;390113.926377;;;374249.75;0.0094914837;0.009240442;286196.28125
;BR;2013;p99.2p100;835133.797044;1359582.35832;2.71493268013;3.33992338181;407069.9375;0.2138361987;0.2576302155;307607.5625
;BR;2013;p99.2p99.3;320288.08506;426608.61339;;;407069.9375;0.0102512296;0.0101048741;307607.5625
;BR;2013;p99.3p100;908683.186367;1492864.31916;2.72134995461;3.33467721939;447678.8125;0.2035849695;0.2475253409;333908.96875
;BR;2013;p99.3p99.4;349744.026035;472459.453634;;;447678.8125;0.0111940047;0.0111909211;333908.96875
;BR;2013;p99.4p100;1001839.71545;1662931.79872;2.73065185547;3.32922172546;499495.65625;0.1923909653;0.2363344201;366886.65625
;BR;2013;p99.4p99.5;387187.226739;532174.647402;;;499495.65625;0.0123924222;0.0126053663;366886.65625
;BR;2013;p99.5p100;1124770.21107;1889083.22798;2.74733304977;3.32350802422;568400.375;0.1799985427;0.2237290537;409404.375
;BR;2013;p99.5p99.6;436427.591498;613907.786342;;;568400.375;0.013968423;0.0145413401;409404.375
;BR;2013;p99.6p100;1296855.86596;2207877.087;2.78002238274;3.31746292114;665531.8125;0.1660301197;0.2091877135;466491.15625
;BR;2013;p99.6p99.7;504672.463093;734291.297806;;;665531.8125;0.0161526874;0.0173928067;466491.15625
;BR;2013;p99.7p100;1560917.00914;2699072.34306;2.84646368027;3.31096863747;815191.125;0.1498774332;0.1917949063;548370.625
;BR;2013;p99.7p99.8;608782.049603;934278.960077;;;815191.125;0.0194848478;0.0221298188;548370.625
;BR;2013;p99.8p100;2036984.48783;3581469.02745;2.98497533798;3.30380630493;1084043.25;0.1303925854;0.1696650872;682412.5
;BR;2013;p99.8p99.9;813097.127676;1357295.34096;;;1084043.25;0.0260242131;0.0321496055;682412.5
;BR;2013;p99.91p100;3506662.85902;6247708.09865;3.22639751434;3.29450321198;1896403.75;0.101011705;0.1331878257;1086866.375
;BR;2013;p99.91p99.92;1131383.62571;1975059.85652;;;1896403.75;0.0036211379;0.0046782298;1086866.375
;BR;2013;p99.92p100;3803572.75872;6781789.12353;3.22441673279;3.2935218811;2059129.75;0.097390567;0.1285095958;1179615.75
;BR;2013;p99.92p99.93;1236590.13865;2156004.77821;;;2059129.75;0.0039578648;0.0051068254;1179615.75
;BR;2013;p99.93p100;4170284.56242;7442615.47186;3.21108388901;3.29250359535;2260473.0;0.0934327022;0.1234027707;1298715.5
;BR;2013;p99.93p99.94;1373198.54398;2383337.86911;;;2260473.0;0.0043950975;0.0056452984;1298715.5
;BR;2013;p99.94p100;4636465.57062;8285828.39268;3.18633413315;3.29144072533;2517386.5;0.0890376048;0.1177574721;1455109.625
;BR;2013;p99.94p99.95;1555303.89895;2679412.38404;;;2517386.5;0.004977949;0.0063465959;1455109.625
;BR;2013;p99.95p100;5252697.90484;9407111.58983;3.15138936043;3.29032325745;2859023.5;0.0840596558;0.1114108761;1666788.0
;BR;2013;p99.95p99.96;1807087.76086;3084654.20878;;;2859023.5;0.0057838154;0.0073064729;1666788.0
;BR;2013;p99.96p100;6114100.45372;10987725.9536;3.11010026932;3.28913617134;3340611.5;0.0782758406;0.1041044034;1965885.25
;BR;2013;p99.96p99.97;2174642.86338;3681528.75323;;;3340611.5;0.0069602225;0.008720261;1965885.25
;BR;2013;p99.97p100;7427253.00303;13423125.053;3.07224750519;3.28785514832;4082638.75;0.0713156183;0.0953841426;2417530.75
;BR;2013;p99.97p99.98;2762654.49936;4673089.04196;;;4082638.75;0.0088422289;0.0110689225;2417530.75
;BR;2013;p99.98p100;9759552.27774;17798143.0605;3.06275439262;3.28643608093;5415636.5;0.0624733895;0.0843152201;3186528.0
;BR;2013;p99.98p99.99;3917547.58851;6770449.62771;;;5415636.5;0.0125386119;0.0160368402;3186528.0
;BR;2013;p99.991p100;16762647.548;31017644.1706;3.14193272591;3.28458166122;9443408.0;0.0482858968;0.066123009;5335139.0
;BR;2013;p99.991p99.992;5544467.34732;9833393.44197;;;9443408.0;0.0017745777;0.0023291889;5335139.0
;BR;2013;p99.992p100;18164920.0686;33665675.5409;3.14878034592;3.28438568115;10250220.0;0.0465113192;0.0637938202;5768875.0
;BR;2013;p99.992p99.993;6028917.96912;10730537.4105;;;10250220.0;0.0019296323;0.0025416911;5768875.0
;BR;2013;p99.993p100;19898634.6452;36942123.9058;3.15347385406;3.28418159485;11248502.0;0.0445816869;0.0612521292;6310068.0
;BR;2013;p99.993p99.994;6642257.26465;11857679.8826;;;11248502.0;0.0021259394;0.0028086719;6310068.0
;BR;2013;p99.994p100;22108030.8676;41122864.584;3.15585303307;3.28396868706;12522307.0;0.0424557475;0.0584434573;7005405.5
;BR;2013;p99.994p99.995;7445751.69219;13325649.3822;;;12522307.0;0.002383108;0.0031563828;7005405.5
;BR;2013;p99.995p100;25040486.7591;46682307.7073;3.15592050552;3.28374481201;14216180.0;0.0400726396;0.0552870746;7934448.0
;BR;2013;p99.995p99.996;8549044.06428;15334881.6863;;;14216180.0;0.0027362308;0.0036323001;7934448.0
;BR;2013;p99.996p100;29163347.4187;54519164.3353;3.15409851074;3.28350663185;16603945.0;0.0373364087;0.0516547746;9246175.0
;BR;2013;p99.996p99.997;10172852.361;18294248.7161;;;16603945.0;0.0032559515;0.0043332712;9246175.0
;BR;2013;p99.997p100;35493512.4977;66594135.9481;3.15189647675;3.2832493782;20282996.0;0.0340804573;0.0473215032;11261002.0
;BR;2013;p99.997p99.998;12852221.1989;23210511.9488;;;20282996.0;0.0041135177;0.0054977629;11261002.0
;BR;2013;p99.998p100;46814157.7922;88285947.4708;3.15368771553;3.28296422958;26892144.0;0.0299669394;0.0418237401;14844259.0
;BR;2013;p99.998p99.999;18438517.8231;33609455.339;;;26892144.0;0.0059014834;0.0079609109;14844259.0
;BR;2013;p99.99p99.991;5151742.36981;9099565.4754;;;8775599.0;0.001648881;0.0021553705;4979516.0
;BR;2013;p99.9p99.91;1048752.74475;1827054.34888;;;1761713.5;0.0033566672;0.0043276562;1013401.5
;BR;2013;p99p99.1;277072.719117;360262.679459;;;347084.09375;0.0088680666;0.0085333697;268489.25
;BR;2012;p0p100;30344.7970575;40562.3134057;;;0.0;1.0;1.0;0.0
;BR;2012;p0p50;7419.08277396;9812.3555357;;;0.0;0.1222463732;0.1209540915;0.0
;BR;2012;p50p90;25270.1713272;32480.08908;;;18961.8085938;0.333107139;0.3202981916;14651.2050781
;BR;2012;p90p99;102305.983979;128924.777051;;;67506.515625;0.3034322858;0.2860593796;53220.3867188
;BR;2012;p99p100;731959.712656;1106086.9068;2.81798386574;3.25660157204;339644.53125;0.2412142386;0.2726883183;259745.890625
;BR;2012;p99.9p100;3380800.54067;5417969.13076;3.39262199402;3.20858883858;1688583.125;0.1114128563;0.1335715021;996515.5625
;BR;2012;p99.99p100;16589969.8267;26398898.2982;3.27233242989;3.1989736557;8252302.5;0.054671546;0.0650823291;5069769.0
;BR;2012;p99.999p100;82618670.4311;128488743.172;3.3215649128;3.19700789452;40190312.0;0.0272266347;0.0316768775;24873418.0
;BR;2012;p0p10;65.8465116275;890.605390077;;;0.0;0.0002169944;0.0021956474;0.0
;BR;2012;p10p20;4611.99310798;6320.02567381;;;2864.60058594;0.0151986289;0.0155810287;1638.53186035
;BR;2012;p20p30;8510.18471192;11008.1641666;;;8642.07519531;0.0280449551;0.0271388963;6554.12744141
;BR;2012;p30p40;10907.8069214;14026.6003008;;;13114.0078125;0.0359462181;0.0345803755;10191.6679688
;BR;2012;p40p50;12999.5826169;16816.3821473;;;14860.2597656;0.0428395767;0.0414581436;11469.7226562
;BR;2012;p50p60;16285.2007456;20917.2958408;;;18961.8085938;0.0536671928;0.0515683009;14651.2050781
;BR;2012;p60p70;20371.9727632;26358.7747345;;;23126.7851562;0.0671349778;0.0649834108;18023.8496094
;BR;2012;p70p80;26088.4559206;33681.9114598;;;29540.7910156;0.0859734071;0.0830374518;22554.390625
;BR;2012;p80p90;38335.0558794;48962.3742849;;;39320.890625;0.1263315612;0.1207090281;30575.0039062
;BR;2012;p90p100;165271.872323;226641.000662;3.10542416573;3.35732030869;67506.515625;0.5446464908;0.5587477183;53220.3867188
;BR;2012;p0p1;3.4301711841;33.9570926395;;;0.0;1.1304e-06;8.3716e-06;0.0
;BR;2012;p1p2;10.2905142423;109.443932728;;;69.2839202881;3.3912e-06;2.69817e-05;6.8603425026
;BR;2012;p2p3;17.1508566105;205.760645163;;;153.07321167;5.652e-06;5.0727e-05;13.7206850052
;BR;2012;p3p4;24.0111989787;335.639408103;;;264.040588379;7.9128e-06;8.27466e-05;20.5810279846
;BR;2012;p4p5;30.8715427268;511.880578349;;;414.96560669;1.01736e-05;0.0001261961;27.4413700104
;BR;2012;p5p6;37.7318837151;747.264318457;;;618.654724121;1.24344e-05;0.0001842263;34.3017120361
;BR;2012;p6p7;44.5922274632;1054.44342777;;;887.843994141;1.46952e-05;0.0002599564;41.1620559692
;BR;2012;p7p8;51.4525684515;1445.81441503;;;1235.08154297;1.6956e-05;0.0003564428;48.0223999023
;BR;2012;p8p9;58.3129149594;1933.36391287;;;1672.58679199;1.92168e-05;0.0004766404;54.8827400208
;BR;2012;p9p10;380.621237943;2528.48616966;;;2212.08300781;0.0001254321;0.0006233585;61.7430839539
;BR;2012;p10p11;1977.80821282;3238.48009638;;;2864.60058594;0.0006517784;0.0007983963;1638.53186035
;BR;2012;p11p12;2683.66271078;4034.50007293;;;3627.1496582;0.0008843897;0.0009946425;2326.01757812
;BR;2012;p12p13;3394.56335024;4856.34082653;;;4446.00488281;0.001118664;0.0011972544;3042.02709961
;BR;2012;p13p14;4068.72813616;5649.36134119;;;5261.68798828;0.0013408322;0.0013927611;3740.82495117
;BR;2012;p14p15;4673.5154976;6370.10719606;;;6024.76220703;0.0015401373;0.0015704497;4384.88378906
;BR;2012;p15p16;5187.40837214;6988.77454401;;;6698.16699219;0.0017094886;0.0017229724;4946.77685547
;BR;2012;p16p17;5602.2100696;7491.94041532;;;7259.80957031;0.0018461847;0.00184702;5411.26269531
;BR;2012;p17p18;5925.48282531;7885.60609481;;;7705.44189453;0.0019527179;0.0019440721;5777.59521484
;BR;2012;p18p19;6183.28450488;8198.61543179;;;8051.88330078;0.0020376754;0.0020212396;6062.09960938
;BR;2012;p19p20;6423.26740024;8486.53071903;;;8340.6484375;0.0021167607;0.0020922206;6301.08154297
;BR;2012;p20p21;6712.42619763;8829.23623982;;;8642.07519531;0.0022120518;0.0021767092;6554.12744141
;BR;2012;p21p22;7079.06902839;9262.64715043;;;9032.52050781;0.0023328774;0.0022835599;6884.49365234
;BR;2012;p22p23;7498.71992493;9760.86948167;;;9503.54492188;0.0024711716;0.0024063888;7282.44433594
;BR;2012;p23p24;7943.7546671;10293.7263425;;;10023.9238281;0.0026178309;0.0025377562;7719.17871094
;BR;2012;p24p25;8389.41609239;10833.633261;;;10564.6464844;0.0027646967;0.0026708618;8168.37304688
;BR;2012;p25p26;8814.67322404;11356.4396579;;;11099.6972656;0.0029048384;0.0027997515;8606.98046875
;BR;2012;p26p27;9203.20686624;11842.3912056;;;11606.9492188;0.003032878;0.0029195552;9016.14941406
;BR;2012;p27p28;9544.53509031;12277.2395158;;;12069.2041016;0.0031453613;0.0030267602;9382.27929688
;BR;2012;p28p29;9835.30051387;12653.5076552;;;12475.3740234;0.0032411818;0.0031195232;9698.22167969
;BR;2012;p29p30;10080.7455143;12971.9511558;;;12821.8388672;0.0033220672;0.0031980304;9964.65527344
;BR;2012;p30p31;10294.9715215;13242.3220465;;;13114.0078125;0.0033926645;0.0032646861;10191.6679688
;BR;2012;p31p32;10486.8057947;13474.4403538;;;13364.3632812;0.0034558827;0.0033219112;10394.7255859
;BR;2012;p32p33;10654.4092627;13672.7665497;;;13578.8652344;0.0035111157;0.0033708054;10574.8183594
;BR;2012;p33p34;10796.518668;13842.2654236;;;13761.8388672;0.0035579472;0.0034125927;10729.7148438
;BR;2012;p34p35;10914.0885188;13989.3212204;;;13918.9238281;0.0035966919;0.003448847;10859.1884766
;BR;2012;p35p36;11010.7616317;14121.9624119;;;14057.2851562;0.0036285501;0.0034815476;10965.4521484
;BR;2012;p36p37;11093.4315209;14250.1280208;;;14185.8574219;0.0036557936;0.0035131448;11053.6728516
;BR;2012;p37p38;11172.8909838;14385.9726678;;;14315.6347656;0.0036819791;0.0035466352;11132.578125
;BR;2012;p38p39;11264.6007946;14544.2254484;;;14459.9951172;0.0037122017;0.0035856499;11215.1533203
;BR;2012;p39p40;11389.5905171;14742.598865;;;14635.0849609;0.0037533916;0.0036345557;11319.484375
;BR;2012;p40p41;11573.234812;15000.6149192;;;14860.2597656;0.0038139108;0.0036981655;11469.7226562
;BR;2012;p41p42;11822.4914871;15323.0854052;;;15151.9755859;0.0038960523;0.0037776656;11688.0341797
;BR;2012;p42p43;12122.1668327;15698.0171975;;;15502.9375;0.003994809;0.0038700991;11965.3398438
